iter,h,r,c,a
0,17,33,29,18
1,17,32,29,18
2,17,32,29,18
3,17,32,29,17
4,17,32,29,18
5,17,32,29,16
6,17,32,29,16
7,17,32,30,16
8,17,32,28,16
9,17,32,28,16
10,17,32,28,16
11,17,32,28,18
12,17,32,28,15
13,17,32,28,15
14,17,32,28,15
15,17,32,28,15
16,17,32,28,15
17,17,32,28,15
18,17,33,28,15
19,17,33,28,15
20,17,33,28,15
21,17,33,30,15
22,17,33,27,16
23,17,34,27,15
24,17,32,27,15
25,17,32,27,15
26,17,32,27,15
27,17,32,27,15
28,17,32,27,16
29,17,33,27,14
30,17,31,27,14
31,17,31,27,14
32,17,32,28,13
33,17,32,26,14
34,17,32,26,14
35,17,32,26,14
36,17,32,26,14
37,17,32,26,14
38,17,32,26,14
39,17,32,26,14
40,17,32,26,14
41,18,32,26,14
42,18,32,26,14
43,18,32,26,15
44,18,32,27,16
45,18,33,27,15
46,18,34,27,15
47,18,32,27,15
48,19,32,27,15
49,19,32,27,15
50,19,32,27,15
51,19,32,27,15
52,19,32,27,16
53,19,32,28,17
54,19,33,27,17
55,19,34,27,17
56,19,32,27,17
57,18,32,27,17
58,18,32,27,17
59,18,32,27,17
60,18,32,27,17
61,18,32,27,17
62,18,32,27,18
63,18,32,27,19
64,18,32,27,19
65,18,32,27,20
66,18,32,27,21
67,18,32,27,20
68,18,32,27,20
69,19,32,27,20
70,19,33,27,21
71,19,33,27,20
72,19,34,27,19
73,19,35,27,20
74,19,35,27,22
75,19,35,27,21
76,19,33,27,20
77,19,33,27,21
78,19,34,27,21
79,19,32,27,21
80,19,32,27,21
81,19,32,27,21
82,21,33,27,22
83,21,33,27,25
84,21,33,27,26
85,21,33,28,24
86,21,33,27,24
87,21,33,27,26
88,21,33,27,27
89,21,33,27,27
90,21,33,28,26
91,21,33,28,26
92,21,33,28,26
93,21,35,28,26
94,21,35,28,26
95,21,35,28,28
96,22,35,28,29
97,22,36,28,31
98,22,35,28,30
99,22,35,28,33
100,22,34,28,33
101,22,35,28,33
102,22,35,28,34
103,22,36,28,34
104,22,36,28,35
105,22,36,27,36
106,22,36,27,38
107,22,36,27,41
108,22,36,28,42
109,22,37,27,40
110,22,38,27,38
111,22,38,27,32
112,22,39,26,30
113,19,36,19,9
114,14,30,15,9
115,11,25,12,9
116,8,24,8,8
117,6,17,5,5
118,5,18,5,5
119,5,18,5,5
120,5,18,5,5
121,5,18,5,5
122,5,19,5,5
123,5,20,5,5
124,5,20,5,5
125,5,20,5,5
126,5,20,5,5
127,5,21,5,5
128,5,21,5,5
129,5,21,5,5
130,5,21,5,5
131,5,22,5,5
132,5,24,5,5
133,5,24,5,5
134,5,24,5,5
135,5,24,5,5
136,5,24,5,5
137,5,25,5,5
138,5,25,5,4
139,5,25,5,4
140,5,25,5,4
141,5,26,5,4
142,5,26,5,4
143,5,26,5,4
144,5,26,5,4
145,5,26,5,4
146,5,27,5,4
147,5,24,5,4
148,5,24,5,4
149,5,24,5,4
150,5,25,5,4
151,5,25,5,4
152,5,25,5,4
153,5,25,5,4
154,5,25,5,4
155,5,25,5,4
156,5,25,5,4
157,5,25,5,4
158,5,25,5,4
159,5,25,5,4
160,5,25,5,4
161,5,25,5,4
162,5,25,5,4
163,5,26,5,4
164,5,26,5,4
165,5,26,5,4
166,5,26,5,4
167,5,26,5,4
168,5,26,5,4
169,5,26,5,4
170,5,26,5,4
171,5,26,5,4
172,5,26,5,4
173,5,26,5,4
174,5,26,5,4
175,5,26,5,4
176,5,26,5,4
177,5,26,5,4
178,5,27,5,4
179,5,27,5,4
180,5,27,5,4
181,5,27,5,4
182,5,28,5,4
183,5,28,5,4
184,5,28,5,4
185,5,28,5,4
186,4,28,5,4
187,4,29,5,4
188,4,29,5,4
189,4,29,5,4
190,4,29,5,4
191,4,29,5,4
192,4,29,5,4
193,4,29,5,4
194,4,29,5,4
195,4,30,5,4
196,4,30,5,4
197,4,30,5,4
198,4,30,5,4
199,4,30,5,4
200,4,30,5,4
201,4,30,5,4
202,4,30,5,4
203,4,30,5,4
204,4,30,5,4
205,4,30,5,4
206,4,30,5,4
207,4,31,5,4
208,4,31,5,4
209,4,32,5,4
210,4,32,5,4
211,4,32,5,4
212,4,32,5,4
213,4,33,5,4
214,4,33,5,4
215,4,33,5,4
216,4,34,5,4
217,4,34,5,4
218,4,34,5,4
219,4,34,5,4
220,4,34,5,4
221,4,34,5,4
222,4,34,5,4
223,4,34,5,4
224,4,34,5,4
225,4,34,5,4
226,4,35,5,4
227,4,36,5,4
228,4,36,5,4
229,4,36,5,4
