iter,h,r,c,a
0,22,24,21,31
1,22,25,21,31
2,22,23,21,31
3,22,23,21,31
4,22,23,21,31
5,22,23,21,31
6,22,23,21,31
7,22,23,21,31
8,22,23,21,31
9,22,23,21,31
10,22,23,21,31
11,22,23,21,31
12,22,23,21,31
13,22,23,20,31
14,22,23,20,31
15,22,23,20,31
16,22,23,19,32
17,22,23,19,32
18,22,23,19,32
19,22,23,19,32
20,22,23,19,32
21,22,23,19,32
22,22,23,19,32
23,22,23,21,32
24,22,23,17,32
25,22,23,17,33
26,22,23,18,31
27,22,23,19,30
28,22,23,17,31
29,22,23,17,30
30,22,23,17,31
31,22,23,17,30
32,22,23,17,31
33,22,23,17,30
34,22,23,17,31
35,22,23,17,30
36,22,23,17,30
37,22,23,17,30
38,22,23,17,30
39,22,23,17,30
40,22,22,17,30
41,22,22,17,30
42,23,22,17,30
43,23,22,17,30
44,23,22,17,31
45,23,22,17,30
46,24,22,17,30
47,24,22,18,30
48,24,22,17,30
49,24,22,17,30
50,24,23,17,30
51,24,22,17,30
52,24,20,18,30
53,24,20,16,30
54,24,20,16,32
55,24,20,16,32
56,24,20,16,32
57,24,20,16,32
58,24,20,17,32
59,24,20,15,32
60,24,20,15,32
61,25,20,15,32
62,25,20,15,32
63,25,20,15,33
64,25,20,15,32
65,25,20,15,32
66,25,20,15,33
67,25,20,15,33
68,25,20,16,33
69,25,19,15,33
70,25,19,15,33
71,25,19,15,34
72,25,19,15,32
73,25,19,15,32
74,25,19,15,32
75,25,19,15,33
76,25,19,15,33
77,25,19,15,33
78,25,19,15,33
79,25,19,15,33
80,24,19,15,35
81,24,19,15,36
82,24,19,15,37
83,24,19,15,37
84,25,19,15,37
85,26,19,15,37
86,26,19,15,37
87,26,19,15,37
88,26,19,15,37
89,26,19,15,37
90,26,19,15,37
91,26,19,15,37
92,27,19,16,37
93,28,19,16,37
94,28,19,16,37
95,28,19,16,36
96,28,19,16,36
97,28,19,16,37
98,28,19,16,37
99,28,19,16,37
100,28,19,16,38
101,28,19,16,37
102,28,19,16,37
103,28,19,16,37
104,28,19,16,38
105,28,19,16,39
106,28,19,16,41
107,28,19,16,40
108,28,19,16,42
109,28,19,16,42
110,28,19,16,43
111,28,19,16,42
112,28,19,16,42
113,28,19,16,43
114,28,19,16,43
115,28,19,16,42
116,29,19,16,42
117,30,19,16,42
118,30,19,16,42
119,30,19,16,42
120,31,19,17,42
121,31,19,16,42
122,31,19,16,42
123,31,19,16,42
124,31,19,16,42
125,31,19,16,43
126,31,19,16,42
127,31,19,16,42
128,32,19,16,42
129,32,19,16,42
130,33,19,17,42
131,33,19,17,42
132,33,19,17,44
133,33,19,16,45
134,33,19,16,47
135,33,19,16,49
136,33,19,16,49
137,35,19,16,50
138,35,19,17,50
139,36,19,18,50
140,37,19,18,50
141,38,19,18,49
142,38,19,18,49
143,38,19,18,49
144,38,19,18,49
145,38,19,18,49
146,37,19,18,48
147,37,20,18,48
148,37,20,18,49
149,37,19,18,49
150,38,19,18,47
151,38,19,18,47
152,37,19,18,48
153,37,19,18,47
154,37,19,18,47
155,37,19,18,48
156,37,19,18,48
157,37,19,18,48
158,37,19,18,49
159,37,19,18,49
160,37,19,18,50
161,37,19,18,51
162,37,19,18,51
